n,avg_per_insert_seconds,avg_per_insert_div_log2_n,sample_first_5_seconds,sample_last_5_seconds
100,7.558730000001e-06,1.137702229563e-06,1.295799999995e-05;1.095899999998e-05;3.895799999998e-05;6.750000000000e-06;3.291999999988e-06,7.332999999998e-06;1.454099999998e-05;7.415999999982e-06;3.333999999966e-06;3.291000000016e-06
500,7.201685999999e-06,8.032410519088e-07,1.708000000045e-06;3.124999999993e-06;6.791999999978e-06;6.792000000033e-06;3.040999999981e-06,3.124999999993e-06;2.999999999975e-06;2.916999999991e-06;6.125000000023e-06;6.166000000030e-06
1000,7.122336000000e-06,7.146789250658e-07,1.874999999929e-06;3.624999999952e-06;1.104200000002e-05;6.833000000039e-06;2.416999999921e-06,6.583000000004e-06;3.167000000026e-06;6.375000000003e-06;6.416999999925e-06;3.375000000028e-06
2000,7.996710500001e-06,7.292420033455e-07,1.790999999973e-06;2.916999999991e-06;9.750000000031e-06;6.791999999978e-06;2.957999999942e-06,1.016700000001e-05;1.329099999992e-05;6.874999999962e-06;3.415999999978e-06;3.124999999993e-06
5000,1.061036060000e-05,8.634935675788e-07,1.749999999912e-06;3.167000000026e-06;9.707999999997e-06;6.542000000054e-06;9.791999999953e-06,7.250000000014e-06;9.208999999899e-06;9.249999999961e-06;9.291999999994e-06;3.792000000002e-06
10000,9.661579700000e-06,7.271063237996e-07,2.166999999997e-06;3.499999999934e-06;2.874999999958e-06;5.791999999949e-06;2.292000000015e-06,4.208000000006e-06;1.174999999998e-05;4.999999999922e-06;9.291999999994e-06;4.375000000056e-06
20000,9.757989500000e-06,6.829637412051e-07,2.834000000007e-06;4.208000000006e-06;9.416999999901e-06;7.124999999997e-06;1.058399999998e-05,8.833000000097e-06;1.383300000013e-05;9.332999999945e-06;5.459000000041e-06;9.541000000057e-06
