index,value,insert_time_seconds
1,652,2.834000000007e-06
2,5013,4.208000000006e-06
3,12631,9.416999999901e-06
4,10083,7.124999999997e-06
5,12465,1.058399999998e-05
6,12051,7.040999999930e-06
7,16934,3.167000000026e-06
8,13733,1.616599999998e-05
9,2903,3.207999999977e-06
10,3014,7.624999999956e-06
11,6551,3.042000000009e-06
12,13427,1.154199999998e-05
13,7024,1.075000000006e-05
14,1600,7.250000000014e-06
15,18913,3.083000000070e-06
16,14397,3.000000000086e-06
17,4682,3.208000000088e-06
18,14319,7.291999999937e-06
19,5938,8.541000000029e-06
20,5038,1.116599999995e-05
21,1529,1.020799999996e-05
22,17175,2.999999999975e-06
23,4860,7.541999999972e-06
24,3646,7.499999999938e-06
25,12667,9.583999999951e-06
26,3799,7.707999999940e-06
27,7671,3.332999999994e-06
28,8475,7.167000000030e-06
29,7712,1.483400000002e-05
30,8131,9.750000000031e-06
31,15787,3.166000000054e-06
32,19952,3.207999999977e-06
33,16113,1.366700000005e-05
34,1668,7.583999999894e-06
35,11061,3.167000000026e-06
36,3108,1.545799999991e-05
37,12924,1.366699999994e-05
38,2608,6.833000000039e-06
39,19211,7.458000000016e-06
40,12345,3.332999999994e-06
41,11031,1.133300000000e-05
42,7749,7.624999999956e-06
43,11638,3.291999999933e-06
44,274,2.791000000002e-06
45,13385,1.020800000007e-05
46,11289,1.504200000002e-05
47,11775,3.542000000079e-06
48,10386,3.458000000012e-06
49,16409,7.750000000084e-06
50,7945,7.833000000068e-06
51,7965,7.375000000032e-06
52,14996,7.541000000000e-06
53,16252,3.333000000105e-06
54,6063,3.416999999950e-06
55,4716,3.209000000060e-06
56,7714,3.500000000045e-06
57,675,3.167000000026e-06
58,13059,1.420900000004e-05
59,8127,7.792000000006e-06
60,17163,3.457999999901e-06
61,9735,3.374999999917e-06
62,7537,3.207999999977e-06
63,13512,3.290999999961e-06
64,17507,3.250000000010e-06
65,19908,1.012500000008e-05
66,3513,7.416999999954e-06
67,17418,1.158400000001e-05
68,14351,3.375000000028e-06
69,2628,7.374999999921e-06
70,14884,7.957999999975e-06
71,15670,7.375000000032e-06
72,3146,1.216699999995e-05
73,11586,1.383399999999e-05
74,14441,3.584000000001e-06
75,4904,3.332999999994e-06
76,3032,3.292000000044e-06
77,15885,3.500000000045e-06
78,1438,7.415999999982e-06
79,4873,1.129199999994e-05
80,89,3.250000000010e-06
81,17392,7.500000000049e-06
82,6803,3.333999999966e-06
83,12592,3.375000000028e-06
84,2983,3.167000000026e-06
85,10974,1.037500000001e-05
86,15371,1.441699999993e-05
87,4989,2.999999999975e-06
88,17322,1.741599999994e-05
89,11593,7.792000000006e-06
90,13104,7.749999999973e-06
91,8712,1.008299999994e-05
92,16110,3.750000000080e-06
93,13596,7.792000000006e-06
94,15475,1.012499999997e-05
95,17963,3.541999999968e-06
96,18928,1.608400000008e-05
97,18042,7.749999999973e-06
98,19318,3.666999999985e-06
99,1312,9.915999999999e-06
100,14799,1.024999999999e-05
101,14375,7.834000000040e-06
102,17621,7.749999999973e-06
103,13807,1.833399999995e-05
104,17954,7.832999999957e-06
105,154,1.041599999996e-05
106,11198,1.654200000001e-05
107,2055,3.458999999983e-06
108,8424,6.666999999960e-06
109,13787,7.957999999975e-06
110,12543,7.707999999940e-06
111,6677,7.124999999997e-06
112,9315,3.541999999968e-06
113,13530,7.541999999972e-06
114,15814,3.124999999993e-06
115,12916,7.500000000049e-06
116,8900,7.582999999922e-06
117,6979,3.541999999968e-06
118,7949,1.962499999997e-05
119,7409,3.332999999994e-06
120,3630,3.458000000012e-06
121,7421,1.016700000001e-05
122,5701,7.457999999905e-06
123,8232,7.625000000067e-06
124,3353,7.583999999894e-06
125,16154,7.458999999987e-06
126,5760,8.042000000041e-06
127,12202,3.458999999983e-06
128,8668,7.833999999929e-06
129,10046,7.834000000040e-06
130,12966,3.500000000045e-06
131,5992,3.624999999952e-06
132,18080,3.458000000012e-06
133,382,1.150000000005e-05
134,5433,1.079100000001e-05
135,4036,3.458000000012e-06
136,18363,7.749999999973e-06
137,258,3.625000000063e-06
138,16892,1.170800000005e-05
139,16299,3.499999999934e-06
140,17988,1.133300000000e-05
141,418,1.454199999995e-05
142,3077,7.624999999956e-06
143,1297,1.554199999998e-05
144,4802,3.583000000029e-06
145,2406,7.624999999956e-06
146,13288,3.375000000028e-06
147,11125,7.958000000086e-06
148,1257,1.050000000002e-05
149,7652,6.874999999962e-06
150,10072,7.875000000102e-06
151,2390,1.054099999998e-05
152,11856,3.416999999950e-06
153,15858,7.750000000084e-06
154,19239,7.749999999973e-06
155,11370,1.358400000007e-05
156,7019,7.874999999991e-06
157,7790,3.666999999985e-06
158,19874,3.290999999961e-06
159,5509,7.874999999991e-06
160,10771,1.170799999994e-05
161,5847,3.416000000089e-06
162,3334,1.037500000001e-05
163,18044,3.666000000013e-06
164,7564,1.066599999999e-05
165,4693,3.584000000001e-06
166,11993,7.583000000033e-06
167,2742,3.625000000063e-06
168,18,3.499999999934e-06
169,12851,1.441700000004e-05
170,1448,3.708000000047e-06
171,13874,1.641699999999e-05
172,17503,7.708000000051e-06
173,8091,3.624999999952e-06
174,3568,3.375000000028e-06
175,7838,1.508299999997e-05
176,10913,7.666999999989e-06
177,17721,3.541999999968e-06
178,4266,7.832999999957e-06
179,7677,3.582999999918e-06
180,8773,3.458999999983e-06
181,14073,1.020799999996e-05
182,907,1.466699999997e-05
183,14907,7.874999999991e-06
184,3029,3.540999999996e-06
185,13652,3.540999999996e-06
186,17488,7.459000000098e-06
187,11408,8.040999999959e-06
188,8319,3.666999999985e-06
189,3526,6.583000000004e-06
190,2261,1.545800000002e-05
191,8742,7.666999999989e-06
192,18196,3.665999999902e-06
193,17021,3.332999999994e-06
194,11580,7.666999999989e-06
195,18998,2.832999999924e-06
196,5322,1.183399999993e-05
197,10022,1.941599999999e-05
198,10225,1.187499999999e-05
199,12946,3.415999999978e-06
200,4275,7.792000000006e-06
201,6216,3.666999999985e-06
202,3775,3.250000000010e-06
203,17101,1.008400000002e-05
204,5844,1.050000000002e-05
205,6880,3.666999999985e-06
206,13074,3.417000000061e-06
207,16414,1.145900000010e-05
208,9919,1.070900000000e-05
209,16222,3.541999999968e-06
210,14001,1.466699999997e-05
211,13541,7.917000000024e-06
212,14703,3.584000000001e-06
213,231,3.583000000029e-06
214,684,1.050000000002e-05
215,1253,1.912500000001e-05
216,2769,8.166999999948e-06
217,13360,1.174999999998e-05
218,7676,1.137499999992e-05
219,3614,1.066699999996e-05
220,4164,3.458999999983e-06
221,9975,1.454100000009e-05
222,18617,3.624999999952e-06
223,11350,3.584000000001e-06
224,15234,7.458000000016e-06
225,13548,8.125000000025e-06
226,211,7.666999999989e-06
227,16287,3.499999999934e-06
228,12604,7.791000000035e-06
229,14426,3.416999999950e-06
230,5727,1.129200000005e-05
231,1493,7.749999999973e-06
232,19541,1.441599999996e-05
233,14617,1.191700000003e-05
234,725,3.708000000047e-06
235,17905,9.625000000013e-06
236,19152,8.042000000041e-06
237,10150,7.791000000035e-06
238,5588,3.624999999952e-06
239,7073,3.708000000047e-06
240,16555,1.066699999996e-05
241,6345,8.125000000025e-06
242,19180,1.533300000001e-05
243,3247,7.875000000102e-06
244,4313,1.241600000002e-05
245,3402,3.541999999968e-06
246,1118,1.200000000001e-05
247,18779,1.554100000001e-05
248,9326,3.750000000080e-06
249,10147,1.591700000003e-05
250,14128,3.750000000080e-06
251,6700,3.540999999996e-06
252,10560,3.500000000045e-06
253,17736,7.875000000102e-06
254,6388,8.125000000025e-06
255,1323,7.832999999957e-06
256,15209,7.874999999991e-06
257,9671,1.016600000003e-05
258,11986,7.749999999973e-06
259,9901,2.175000000004e-05
260,2466,3.833000000064e-06
261,1318,7.707999999940e-06
262,10817,3.792000000002e-06
263,6905,1.179200000001e-05
264,2715,1.612500000003e-05
265,3644,3.709000000018e-06
266,10934,3.415999999978e-06
267,122,3.582999999918e-06
268,10563,8.166999999948e-06
269,5091,1.062500000004e-05
270,7361,1.024999999999e-05
271,9117,7.833000000068e-06
272,14299,1.062500000004e-05
273,12858,1.016700000001e-05
274,14953,8.790999999952e-06
275,12015,3.834000000036e-06
276,17221,7.499999999938e-06
277,4481,8.125000000025e-06
278,240,7.916999999913e-06
279,8134,3.625000000063e-06
280,6544,2.645800000001e-05
281,6758,7.874999999991e-06
282,16863,1.312500000006e-05
283,13624,4.124999999910e-06
284,7627,8.083999999964e-06
285,10535,1.458300000001e-05
286,13116,3.917000000020e-06
287,1828,3.540999999996e-06
288,7130,7.792000000006e-06
289,1148,1.074999999995e-05
290,19444,7.332999999998e-06
291,3013,3.709000000018e-06
292,11796,3.875000000098e-06
293,6816,3.666999999985e-06
294,1229,1.179200000001e-05
295,19496,7.916000000052e-06
296,9336,3.583000000029e-06
297,5651,8.000000000008e-06
298,7398,3.709000000018e-06
299,14535,7.666999999989e-06
300,8703,7.750000000084e-06
301,14117,2.129099999992e-05
302,7753,3.541999999968e-06
303,1152,7.874999999991e-06
304,7787,7.792000000006e-06
305,13022,3.750000000080e-06
306,19096,3.792000000002e-06
307,19971,3.417000000061e-06
308,13764,3.749999999969e-06
309,18072,7.874999999991e-06
310,10610,3.500000000045e-06
311,12277,1.012499999997e-05
312,4374,1.191700000003e-05
313,3401,9.459000000045e-06
314,18525,3.834000000036e-06
315,13287,1.174999999998e-05
316,19829,3.707999999936e-06
317,3299,7.874999999991e-06
318,16182,1.020900000004e-05
319,13740,8.082999999992e-06
320,5205,8.082999999992e-06
321,8774,3.458000000012e-06
322,15434,8.082999999992e-06
323,7136,7.874999999991e-06
324,9498,7.957999999975e-06
325,8811,1.866699999997e-05
326,19167,1.479199999999e-05
327,5377,3.791000000031e-06
328,6098,3.499999999934e-06
329,13719,3.874999999987e-06
330,13667,1.258299999995e-05
331,12141,7.458000000016e-06
332,16062,3.666999999985e-06
333,15712,3.541999999968e-06
334,7646,1.008299999994e-05
335,4541,3.832999999953e-06
336,19025,3.583000000029e-06
337,10284,3.709000000018e-06
338,16344,3.790999999920e-06
339,11804,7.874999999991e-06
340,12977,1.187500000011e-05
341,2031,6.874999999962e-06
342,17883,8.374999999949e-06
343,15292,3.750000000080e-06
344,17640,1.454199999995e-05
345,5053,3.749999999969e-06
346,8500,7.416999999954e-06
347,14445,1.454100000009e-05
348,14258,4.082999999988e-06
349,15442,1.424999999999e-05
350,11902,1.537499999993e-05
351,18988,3.209000000060e-06
352,5276,1.454199999995e-05
353,12670,7.749999999973e-06
354,2363,3.708000000047e-06
355,18874,1.541700000007e-05
356,3708,6.749999999944e-06
357,16979,7.874999999991e-06
358,15861,7.583000000033e-06
359,15666,3.791000000031e-06
360,14318,3.750000000080e-06
361,11790,7.750000000084e-06
362,10874,1.416599999993e-05
363,4914,7.834000000040e-06
364,16434,3.707999999936e-06
365,1176,1.216699999995e-05
366,11416,1.033299999997e-05
367,4890,3.708000000047e-06
368,11498,1.470800000003e-05
369,17823,3.832999999953e-06
370,338,3.666000000013e-06
371,6800,7.915999999941e-06
372,17686,1.070900000000e-05
373,3370,1.566700000000e-05
374,388,7.041000000041e-06
375,10026,3.209000000060e-06
376,5369,3.416999999950e-06
377,1232,3.792000000002e-06
378,15361,3.749999999969e-06
379,10813,3.792000000002e-06
380,15872,6.832999999928e-06
381,4558,1.179100000004e-05
382,18001,3.749999999969e-06
383,19499,5.874999999933e-06
384,19448,8.292000000076e-06
385,12843,7.375000000032e-06
386,163,2.583000000000e-06
387,2597,5.666000000071e-06
388,1996,7.375000000032e-06
389,367,2.708000000018e-06
390,9056,2.708000000018e-06
391,5442,8.332999999916e-06
392,3352,3.082999999959e-06
393,14129,1.216700000006e-05
394,15392,7.332999999998e-06
395,4422,4.250000000039e-06
396,11218,3.458000000012e-06
397,4554,9.499999999996e-06
398,2797,3.500000000045e-06
399,10968,3.375000000028e-06
400,5440,6.874999999962e-06
401,16108,3.258300000009e-05
402,15173,4.125000000021e-06
403,6621,4.208999999977e-06
404,16013,8.375000000060e-06
405,2443,7.332999999998e-06
406,7713,2.875000000069e-06
407,10964,8.750000000002e-06
408,15422,1.291699999995e-05
409,832,3.250000000010e-06
410,14687,3.042000000009e-06
411,7873,2.958000000053e-06
412,13226,8.958000000003e-06
413,15686,6.791999999978e-06
414,11386,3.124999999993e-06
415,1976,1.270799999997e-05
416,5385,3.042000000009e-06
417,13857,3.167000000026e-06
418,593,3.124999999993e-06
419,8810,8.624999999984e-06
420,5041,8.416000000011e-06
421,17421,1.287500000002e-05
422,7870,8.333000000027e-06
423,1576,3.124999999993e-06
424,18801,8.624999999984e-06
425,5820,3.124999999993e-06
426,19945,3.041000000037e-06
427,1207,6.665999999989e-06
428,4043,2.999999999975e-06
429,59,6.290999999936e-06
430,7045,1.283399999996e-05
431,14808,9.915999999999e-06
432,18671,1.004199999999e-05
433,4486,9.999999999954e-06
434,10534,6.708999999994e-06
435,1593,8.667000000018e-06
436,8832,1.316699999998e-05
437,18509,3.250000000010e-06
438,6536,8.416999999983e-06
439,13086,3.332999999994e-06
440,4694,6.708000000022e-06
441,2307,8.542000000000e-06
442,12868,3.208000000088e-06
443,12971,6.541999999943e-06
444,1921,8.624999999984e-06
445,11761,3.082999999959e-06
446,17999,8.292000000076e-06
447,1263,2.874999999958e-06
448,15566,3.292000000044e-06
449,4778,2.915999999908e-06
450,4875,8.416000000011e-06
451,15097,6.665999999989e-06
452,17739,6.583000000004e-06
453,4312,3.167000000026e-06
454,4592,3.124999999993e-06
455,2907,2.875000000069e-06
456,13651,3.124999999993e-06
457,19577,6.457999999987e-06
458,1716,1.545799999991e-05
459,15616,8.832999999986e-06
460,3023,6.249999999985e-06
461,18715,8.624999999984e-06
462,14470,8.499999999967e-06
463,13068,3.041000000037e-06
464,9288,3.083000000070e-06
465,11835,3.207999999977e-06
466,2425,8.499999999967e-06
467,4226,3.124999999993e-06
468,578,1.212500000003e-05
469,13721,3.250000000010e-06
470,1554,2.458299999997e-05
471,17573,4.665999999931e-06
472,3721,6.916999999995e-06
473,17703,6.625000000038e-06
474,16143,9.624999999902e-06
475,11383,6.750000000055e-06
476,19626,9.625000000013e-06
477,5432,6.375000000003e-06
478,480,7.957999999975e-06
479,2002,3.874999999987e-06
480,18207,4.042000000037e-06
481,5748,8.000000000008e-06
482,2813,8.582999999951e-06
483,11686,1.891700000001e-05
484,16677,8.082999999992e-06
485,19171,7.458000000016e-06
486,12383,2.707999999907e-06
487,6327,2.708999999990e-06
488,19269,2.708999999990e-06
489,19956,5.665999999960e-06
490,3060,2.666999999956e-06
491,13674,8.500000000078e-06
492,10618,5.790999999977e-06
493,15591,2.151670000000e-04
