index,value,insert_time_seconds
1,1743,1.790999999973e-06
2,1428,2.916999999991e-06
3,1506,9.750000000031e-06
4,1439,6.791999999978e-06
5,310,2.957999999942e-06
6,260,6.708000000022e-06
7,29,5.874999999933e-06
8,26,9.207999999927e-06
9,266,2.500000000016e-06
10,1813,2.541999999939e-06
11,1416,2.457999999983e-06
12,391,8.542000000000e-06
13,175,2.416000000061e-06
14,1233,7.874999999991e-06
15,809,9.542000000029e-06
16,512,8.083999999964e-06
17,351,8.915999999970e-06
18,1407,2.415999999950e-06
19,1909,5.999999999950e-06
20,1708,5.958000000028e-06
21,609,2.667000000067e-06
22,510,2.666999999956e-06
23,152,5.999999999950e-06
24,1921,2.500000000016e-06
25,85,5.874999999933e-06
26,1750,2.540999999967e-06
27,1034,2.666999999956e-06
28,577,1.150000000005e-05
29,1828,2.584000000083e-06
30,656,2.666999999956e-06
31,1202,2.583000000000e-06
32,1046,8.125000000025e-06
33,1980,9.333000000056e-06
34,575,1.445899999997e-05
35,1725,1.420900000004e-05
36,941,5.833999999982e-06
37,973,8.082999999992e-06
38,1897,2.708000000018e-06
39,655,2.583999999972e-06
40,1332,5.790999999977e-06
41,495,6.041999999984e-06
42,1833,8.000000000008e-06
43,822,9.208000000038e-06
44,267,2.583000000000e-06
45,1705,2.750000000051e-06
46,955,2.624999999923e-06
47,991,2.542000000050e-06
48,1871,5.957999999917e-06
49,1510,1.133300000000e-05
50,1149,2.625000000034e-06
51,1902,2.708000000018e-06
52,676,2.583000000000e-06
53,628,8.958000000003e-06
54,1105,5.958000000028e-06
55,1517,8.083999999964e-06
56,1532,1.495800000006e-05
57,1084,1.245900000002e-05
58,665,2.750000000051e-06
59,504,7.832999999957e-06
60,1552,8.000000000008e-06
61,1124,2.875000000069e-06
62,1831,2.749999999940e-06
63,1073,9.249999999961e-06
64,1823,2.708000000018e-06
65,1870,1.112500000000e-05
66,1615,9.249999999961e-06
67,1932,8.042000000041e-06
68,156,1.125000000002e-05
69,667,7.957999999975e-06
70,872,6.083000000046e-06
71,584,4.208000000006e-06
72,1241,1.645799999994e-05
73,1477,3.040999999926e-06
74,333,2.708999999990e-06
75,368,2.583999999972e-06
76,556,6.042000000095e-06
77,1176,2.666999999956e-06
78,1556,6.207999999952e-06
79,917,6.541999999943e-06
80,1077,8.165999999976e-06
81,1239,6.207999999952e-06
82,1666,1.858399999999e-05
83,499,6.249999999985e-06
84,700,1.300000000004e-05
85,126,2.916999999991e-06
86,920,9.417000000012e-06
87,1626,6.082999999935e-06
88,1733,2.749999999940e-06
89,520,6.084000000017e-06
90,1226,2.665999999985e-06
91,355,6.084000000017e-06
92,97,8.208000000010e-06
93,1071,6.041999999984e-06
94,728,6.209000000035e-06
95,77,1.520800000010e-05
96,1139,2.625000000034e-06
97,748,9.584000000062e-06
98,19,2.791999999974e-06
99,620,6.082999999935e-06
100,1482,6.167000000001e-06
101,1763,2.708000000018e-06
102,1293,1.154199999998e-05
103,603,2.750000000051e-06
104,1774,6.124999999968e-06
105,1993,1.004199999999e-05
106,438,2.792000000085e-06
107,594,8.374999999949e-06
108,1440,6.084000000017e-06
109,1366,2.791000000002e-06
110,1736,6.041999999984e-06
111,1701,9.625000000013e-06
112,923,6.167000000001e-06
113,1557,2.791999999974e-06
114,638,9.125000000054e-06
115,1503,2.874999999958e-06
116,1908,2.666999999956e-06
117,1054,6.083000000046e-06
118,1703,8.291999999965e-06
119,316,2.875000000069e-06
120,329,8.208999999981e-06
121,1810,6.292000000019e-06
122,1779,8.291999999965e-06
123,1465,6.291000000047e-06
124,1462,9.499999999996e-06
125,1518,2.833000000035e-06
126,918,9.083000000021e-06
127,1175,9.499999999996e-06
128,37,6.208000000063e-06
129,1116,2.750000000051e-06
130,1916,2.958000000053e-06
131,1264,5.957999999917e-06
132,1935,2.916000000019e-06
133,4,6.167000000001e-06
134,434,9.374999999978e-06
135,976,6.083000000046e-06
136,34,1.145800000002e-05
137,453,2.957999999942e-06
138,1565,6.375000000003e-06
139,318,6.041999999984e-06
140,398,9.249999999961e-06
141,205,2.792000000085e-06
142,209,6.000000000062e-06
143,1447,6.082999999935e-06
144,660,2.834000000007e-06
145,210,6.292000000019e-06
146,377,2.834000000007e-06
147,928,2.833000000035e-06
148,1811,9.333000000056e-06
149,166,2.958000000053e-06
150,1369,2.792000000085e-06
151,1599,1.237500000006e-05
152,36,8.333999999999e-06
153,1123,6.167000000001e-06
154,1597,8.250000000043e-06
155,866,2.834000000007e-06
156,904,2.708999999990e-06
157,1588,9.665999999964e-06
158,186,1.166699999999e-05
159,749,6.375000000003e-06
160,1283,8.083999999964e-06
161,1647,2.916999999991e-06
162,261,2.916999999991e-06
163,1872,2.708000000018e-06
164,1011,5.874999999933e-06
165,385,6.041999999984e-06
166,958,2.708999999990e-06
167,1169,6.084000000017e-06
168,1089,2.791999999974e-06
169,1018,7.874999999991e-06
170,678,2.874999999958e-06
171,699,6.083000000046e-06
172,1691,6.125000000079e-06
173,403,8.166999999948e-06
174,1070,9.083000000021e-06
175,133,2.874999999958e-06
176,1873,6.041999999984e-06
177,1778,2.749999999940e-06
178,1445,9.749999999920e-06
179,1411,2.791000000002e-06
180,1694,8.499999999967e-06
181,239,3.083000000070e-06
182,1045,9.790999999981e-06
183,937,6.541000000082e-06
184,801,6.332999999970e-06
185,1098,6.207999999952e-06
186,1006,2.833000000035e-06
187,50,1.675000000001e-05
188,134,6.459000000070e-06
189,1148,2.874999999958e-06
190,616,2.958000000053e-06
191,957,8.250000000043e-06
192,1307,9.666999999935e-06
193,773,8.333000000027e-06
194,1061,8.499999999967e-06
195,1849,2.874999999958e-06
196,61,6.417000000036e-06
197,1923,2.999999999975e-06
198,1688,1.179200000001e-05
199,738,3.042000000009e-06
200,42,9.541000000057e-06
201,222,8.167000000059e-06
202,1306,8.082999999992e-06
203,1249,2.708000000018e-06
204,1695,2.833000000035e-06
205,1960,9.542000000029e-06
206,1154,9.417000000012e-06
207,640,8.375000000060e-06
208,882,1.183400000004e-05
209,1136,2.916999999991e-06
210,1368,8.041000000070e-06
211,1236,2.874999999958e-06
212,1275,2.833000000035e-06
213,119,6.167000000001e-06
214,1211,2.749999999940e-06
215,289,9.416000000040e-06
216,372,2.916999999991e-06
217,284,8.250000000043e-06
218,420,9.457999999962e-06
219,1109,2.791999999974e-06
220,157,8.249999999932e-06
221,1377,9.416999999901e-06
222,1259,6.167000000001e-06
223,1007,8.374999999949e-06
224,525,6.209000000035e-06
225,145,2.875000000069e-06
226,1684,6.249999999985e-06
227,1023,2.916999999991e-06
228,500,2.791999999974e-06
229,635,1.174999999998e-05
230,1590,6.958000000057e-06
231,1727,9.334000000027e-06
232,569,2.958000000053e-06
233,184,6.249999999985e-06
234,1126,6.207999999952e-06
235,1943,8.084000000075e-06
236,688,6.292000000019e-06
237,706,2.832999999924e-06
238,601,6.041000000012e-06
239,963,1.645900000002e-05
240,696,8.333000000027e-06
241,272,1.004199999999e-05
242,473,2.832999999924e-06
243,1375,8.540999999918e-06
244,1189,2.916999999991e-06
245,17,1.224999999994e-05
246,1127,8.665999999935e-06
247,1036,6.249999999985e-06
