index,value,insert_time_seconds
1,383,1.708000000045e-06
2,323,3.124999999993e-06
3,136,6.791999999978e-06
4,172,6.792000000033e-06
5,47,3.040999999981e-06
6,17,7.291999999992e-06
7,3,7.374999999976e-06
8,467,3.082999999959e-06
9,342,2.959000000025e-06
10,385,6.708999999994e-06
11,307,3.040999999981e-06
12,393,9.875000000048e-06
13,196,1.000000000001e-05
14,352,3.124999999993e-06
15,194,1.054099999998e-05
16,259,3.083999999987e-06
17,148,3.124999999993e-06
18,44,7.083000000019e-06
19,90,3.000000000031e-06
20,153,1.287499999997e-05
21,379,7.166999999975e-06
22,414,7.124999999997e-06
23,359,7.082999999963e-06
24,351,3.042000000009e-06
25,135,7.458999999987e-06
26,275,9.417000000012e-06
27,156,7.542000000027e-06
28,443,9.750000000031e-06
29,70,3.249999999955e-06
30,64,1.170800000000e-05
31,258,6.916999999995e-06
32,119,3.291999999988e-06
33,263,3.250000000010e-06
34,295,3.207999999977e-06
35,65,1.004100000002e-05
36,14,3.250000000010e-06
37,222,1.612499999998e-05
38,129,1.000000000001e-05
39,355,7.582999999978e-06
40,236,8.665999999991e-06
41,34,3.250000000010e-06
42,450,1.441600000002e-05
43,168,7.457999999960e-06
44,477,3.291999999988e-06
45,261,3.209000000004e-06
46,227,1.133300000000e-05
47,297,9.833000000015e-06
48,326,3.291999999988e-06
49,83,1.124999999996e-05
50,392,3.290999999961e-06
51,152,3.167000000026e-06
52,345,7.499999999994e-06
53,195,3.125000000048e-06
54,24,6.833000000039e-06
55,480,1.170800000000e-05
56,353,7.416000000038e-06
57,134,7.375000000032e-06
58,266,3.292000000044e-06
59,404,3.332999999994e-06
60,233,7.249999999959e-06
61,369,3.291999999988e-06
62,73,9.833000000015e-06
63,286,1.129099999997e-05
64,447,3.375000000028e-06
65,57,3.332999999994e-06
66,88,1.787500000000e-05
67,201,7.666999999989e-06
68,254,3.124999999993e-06
69,186,3.165999999999e-06
70,371,1.016700000001e-05
71,405,9.874999999993e-06
72,176,7.250000000014e-06
73,220,9.541999999974e-06
74,204,1.154100000000e-05
75,449,9.666999999991e-06
76,272,7.416999999954e-06
77,487,7.625000000011e-06
78,330,3.375000000028e-06
79,146,3.332999999994e-06
80,224,3.250000000010e-06
81,292,9.665999999964e-06
82,244,7.499999999994e-06
83,485,1.449999999997e-05
84,421,7.457999999960e-06
85,466,7.415999999982e-06
86,427,7.499999999994e-06
87,380,1.112500000000e-05
88,43,7.291999999992e-06
89,486,1.012499999997e-05
90,28,3.416999999950e-06
91,188,3.124999999993e-06
92,452,1.024999999999e-05
93,116,3.332999999994e-06
94,165,1.000000000001e-05
95,210,7.707999999995e-06
96,162,1.591600000000e-05
97,409,1.183400000004e-05
98,288,1.120800000004e-05
99,248,1.108299999997e-05
100,442,3.459000000039e-06
101,139,7.917000000024e-06
102,54,7.542000000027e-06
103,173,7.584000000005e-06
104,316,3.459000000039e-06
105,130,7.083000000019e-06
106,72,3.375000000028e-06
107,118,1.004100000002e-05
108,62,7.374999999976e-06
109,181,3.584000000001e-06
110,474,3.583000000029e-06
111,430,9.833999999986e-06
112,105,7.374999999976e-06
113,265,3.291999999988e-06
114,478,3.458999999983e-06
115,48,3.332999999994e-06
116,256,3.458000000012e-06
117,151,3.291000000016e-06
118,423,1.841699999999e-05
119,185,1.208300000000e-05
120,255,7.541000000000e-06
121,235,3.334000000021e-06
122,378,3.415999999978e-06
123,364,3.291999999988e-06
124,5,1.000000000001e-05
125,365,1.008299999999e-05
126,26,1.008300000005e-05
127,464,1.129200000000e-05
128,197,7.415999999982e-06
129,169,3.584000000001e-06
130,30,1.287500000002e-05
131,479,7.667000000044e-06
132,115,1.008400000002e-05
133,277,3.583000000029e-06
134,206,3.458000000012e-06
135,440,3.542000000023e-06
136,91,1.141599999999e-05
137,49,1.004199999999e-05
138,475,3.458999999983e-06
139,299,3.292000000044e-06
140,247,1.024999999999e-05
141,341,7.666999999989e-06
142,211,3.584000000001e-06
143,157,1.016700000001e-05
144,108,3.249999999955e-06
145,55,1.187499999999e-05
146,125,3.417000000006e-06
147,314,6.500000000020e-06
148,207,1.416700000001e-05
149,488,7.499999999994e-06
150,333,7.582999999978e-06
151,100,1.245799999999e-05
152,178,3.667000000040e-06
153,439,7.750000000029e-06
154,318,3.499999999990e-06
155,15,1.179199999995e-05
156,56,7.667000000044e-06
157,274,7.750000000029e-06
158,21,3.374999999972e-06
159,309,1.433399999995e-05
160,22,1.012500000003e-05
161,221,3.540999999996e-06
162,144,1.004199999999e-05
163,160,1.595799999998e-05
164,285,7.374999999976e-06
165,39,7.499999999994e-06
166,306,3.417000000006e-06
167,184,1.024999999999e-05
168,282,8.874999999964e-06
169,337,9.959000000004e-06
170,127,7.332999999998e-06
171,391,1.029100000000e-05
172,192,3.584000000001e-06
173,386,6.834000000011e-06
174,441,1.170900000003e-05
175,208,7.625000000011e-06
176,121,7.541000000000e-06
177,123,7.541999999972e-06
178,269,3.499999999990e-06
179,289,3.291999999988e-06
180,27,3.291999999988e-06
181,106,3.417000000006e-06
182,495,7.584000000005e-06
183,319,3.624999999952e-06
184,103,7.834000000040e-06
185,77,3.417000000006e-06
186,412,8.375000000005e-06
187,377,9.374999999978e-06
188,225,9.041000000043e-06
189,370,9.124999999999e-06
190,12,2.707999999962e-06
191,438,2.833000000035e-06
192,187,2.792000000029e-06
193,315,2.916999999991e-06
194,368,2.833000000035e-06
195,75,5.917000000022e-06
196,33,6.000000000006e-06
197,262,2.749999999996e-06
198,363,2.833999999952e-06
199,498,1.537499999998e-05
200,219,2.832999999980e-06
201,149,6.167000000001e-06
202,237,1.150000000000e-05
203,264,2.833000000035e-06
204,215,8.000000000008e-06
205,238,8.124999999970e-06
206,9,1.133300000000e-05
207,327,2.875000000013e-06
208,199,8.041000000014e-06
209,281,9.458999999989e-06
210,360,6.207999999952e-06
211,329,6.167000000001e-06
212,408,9.334000000027e-06
213,202,6.082999999990e-06
214,403,2.749999999996e-06
215,85,2.749999999996e-06
216,335,1.133400000003e-05
217,38,6.041999999984e-06
218,394,6.000000000006e-06
219,2,2.708000000018e-06
220,476,6.125000000023e-06
221,150,6.166999999946e-06
222,469,6.125000000023e-06
223,53,1.141700000001e-05
224,45,2.916999999991e-06
225,137,6.124999999968e-06
226,388,6.250000000041e-06
227,95,9.291000000022e-06
228,111,2.791000000002e-06
229,163,2.833000000035e-06
230,117,2.749999999996e-06
231,164,1.150000000000e-05
232,354,8.290999999994e-06
233,126,2.875000000013e-06
234,167,2.916999999991e-06
235,155,2.875000000013e-06
236,389,9.499999999996e-06
237,191,6.167000000001e-06
238,216,6.166000000030e-06
239,250,2.791999999974e-06
240,429,2.875000000013e-06
241,232,2.749999999996e-06
242,145,2.832999999980e-06
243,375,5.999999999950e-06
244,481,3.000000000031e-06
245,242,9.040999999987e-06
246,455,6.292000000019e-06
247,142,2.834000000007e-06
248,284,2.916999999991e-06
249,174,2.834000000007e-06
250,52,5.875000000044e-06
251,251,6.290999999992e-06
252,10,8.250000000043e-06
253,4,2.708999999990e-06
254,398,9.291000000022e-06
255,71,8.000000000008e-06
256,79,2.833000000035e-06
257,58,6.125000000023e-06
258,177,2.916999999991e-06
259,68,6.041999999984e-06
260,131,6.125000000023e-06
261,413,2.959000000025e-06
262,231,6.125000000023e-06
263,468,6.208000000008e-06
264,435,6.167000000001e-06
265,321,6.291999999963e-06
266,203,6.292000000019e-06
267,243,8.208000000010e-06
268,381,2.791999999974e-06
269,93,8.082999999992e-06
270,407,6.375000000003e-06
271,390,6.291999999963e-06
272,101,2.832999999980e-06
273,445,2.749999999996e-06
274,451,2.916999999991e-06
275,50,1.237500000001e-05
276,298,2.834000000007e-06
277,279,8.290999999994e-06
278,283,6.167000000001e-06
279,109,9.083999999993e-06
280,1,9.041999999959e-06
281,161,2.917000000047e-06
282,213,2.916000000019e-06
283,426,6.333999999997e-06
284,7,6.082999999990e-06
285,497,8.333999999999e-06
286,460,9.874999999993e-06
287,280,1.479200000004e-05
288,420,3.083999999987e-06
289,411,1.779099999999e-05
290,25,6.249999999985e-06
291,384,2.791999999974e-06
292,350,8.333999999999e-06
293,490,1.049999999997e-05
294,253,6.332999999970e-06
295,493,8.500000000022e-06
296,320,9.625000000013e-06
297,343,9.291999999994e-06
298,456,8.458999999961e-06
299,270,1.024999999999e-05
300,303,1.241599999996e-05
301,80,9.417000000012e-06
302,132,6.292000000019e-06
303,32,8.208999999981e-06
304,228,6.332999999970e-06
305,84,6.125000000023e-06
306,465,3.000000000031e-06
307,470,9.458000000018e-06
