index,value,insert_time_seconds
1,3218,1.749999999912e-06
2,3887,3.167000000026e-06
3,3459,9.707999999997e-06
4,1928,6.542000000054e-06
5,2270,9.791999999953e-06
6,3134,5.750000000027e-06
7,1926,2.417000000032e-06
8,3487,2.292000000015e-06
9,4646,2.374999999999e-06
10,2661,5.707999999993e-06
11,4245,5.707999999993e-06
12,4426,7.707999999940e-06
13,840,5.667000000042e-06
14,4433,8.333000000027e-06
15,4538,7.583000000033e-06
16,4754,2.499999999994e-05
17,3432,7.792000000006e-06
18,3842,3.207999999977e-06
19,2793,2.666999999956e-06
20,3792,8.165999999976e-06
21,3917,2.665999999985e-06
22,3829,9.042000000070e-06
23,2212,6.000000000062e-06
24,277,2.583000000000e-06
25,1837,2.583000000000e-06
26,1623,9.207999999927e-06
27,3633,2.666999999956e-06
28,724,2.583000000000e-06
29,1509,5.915999999995e-06
30,3416,7.959000000057e-06
31,1221,1.162499999996e-05
32,3445,6.000000000062e-06
33,2797,6.082999999935e-06
34,1633,2.665999999985e-06
35,4473,2.583000000000e-06
36,741,5.999999999950e-06
37,4633,2.583999999972e-06
38,1738,8.084000000075e-06
39,2295,5.917000000077e-06
40,3977,7.832999999957e-06
41,4749,5.875000000044e-06
42,1243,7.916999999913e-06
43,2044,8.166000000087e-06
44,2396,7.874999999991e-06
45,285,1.170800000005e-05
46,177,2.750000000051e-06
47,2674,9.208000000038e-06
48,941,5.999999999950e-06
49,1001,8.208999999981e-06
50,3766,6.167000000001e-06
51,4647,6.207999999952e-06
52,413,1.270900000006e-05
53,355,9.208000000038e-06
54,1917,6.167000000001e-06
55,4703,9.333000000056e-06
56,2520,2.750000000051e-06
57,637,1.141699999996e-05
58,679,6.166000000030e-06
59,3330,2.708999999990e-06
60,563,1.266599999994e-05
61,1937,6.290999999936e-06
62,1237,6.332999999970e-06
63,4416,6.124999999968e-06
64,3296,8.208000000010e-06
65,4077,2.708999999990e-06
66,292,2.833000000035e-06
67,2374,2.708000000018e-06
68,163,2.625000000034e-06
69,4197,9.333000000056e-06
70,917,2.833000000035e-06
71,4235,6.249999999985e-06
72,3305,6.124999999968e-06
73,4709,6.292000000019e-06
74,478,8.541000000029e-06
75,3613,6.209000000035e-06
76,3493,8.000000000008e-06
77,3740,2.708999999990e-06
78,737,2.749999999940e-06
79,3815,5.917000000077e-06
80,1215,2.874999999958e-06
81,2193,2.875000000069e-06
82,4695,9.083000000021e-06
83,4055,1.154199999998e-05
84,1404,2.791999999974e-06
85,1566,2.666999999956e-06
86,3169,2.708999999990e-06
