index,value,insert_time_seconds
1,23,1.295799999995e-05
2,8,1.095899999998e-05
3,11,3.895799999998e-05
4,7,6.750000000000e-06
5,48,3.291999999988e-06
6,13,3.167000000026e-06
7,1,7.375000000032e-06
8,91,7.499999999994e-06
9,94,7.790999999979e-06
10,54,1.012500000003e-05
11,16,3.042000000009e-06
12,63,7.333999999970e-06
13,52,9.791999999953e-06
14,41,2.832999999980e-06
15,80,3.124999999993e-06
16,2,6.999999999979e-06
17,47,1.150000000000e-05
18,87,7.415999999982e-06
19,78,1.024999999999e-05
20,66,1.008299999999e-05
21,19,7.291999999992e-06
22,6,7.458999999987e-06
23,24,3.250000000010e-06
24,10,3.042000000009e-06
25,59,1.029200000002e-05
26,30,6.999999999979e-06
27,22,7.124999999997e-06
28,29,1.016600000003e-05
29,83,3.332999999994e-06
30,37,1.141700000001e-05
31,93,3.291000000016e-06
32,81,7.374999999976e-06
33,43,3.250000000010e-06
34,99,3.207999999977e-06
35,86,1.483299999999e-05
36,28,3.332999999994e-06
37,34,9.875000000048e-06
38,88,3.375000000028e-06
39,44,1.004199999999e-05
40,14,2.749999999996e-06
41,84,1.458399999998e-05
42,70,3.209000000004e-06
43,4,1.437500000001e-05
44,20,1.029200000002e-05
45,15,7.707999999995e-06
46,21,7.542000000027e-06
47,31,1.079100000001e-05
48,76,9.750000000031e-06
49,57,7.167000000030e-06
50,67,7.332999999998e-06
51,73,9.250000000016e-06
52,50,3.165999999999e-06
53,69,1.441699999999e-05
54,25,1.004199999999e-05
55,98,1.137499999998e-05
56,46,7.459000000043e-06
57,96,7.207999999981e-06
58,0,3.457999999956e-06
59,72,3.249999999955e-06
60,35,3.375000000028e-06
61,58,1.129200000005e-05
62,92,3.334000000021e-06
63,3,7.166999999975e-06
64,95,1.162499999996e-05
65,56,3.375000000028e-06
66,90,3.291000000016e-06
67,26,7.499999999994e-06
68,40,3.375000000028e-06
69,55,1.125000000002e-05
70,89,1.020799999996e-05
71,75,3.250000000010e-06
72,71,7.292000000048e-06
73,60,3.332999999994e-06
74,42,3.332999999994e-06
75,9,1.004200000004e-05
76,82,3.291999999988e-06
77,39,1.508299999997e-05
78,18,3.333000000050e-06
79,77,3.207999999977e-06
80,68,9.666999999991e-06
81,32,7.709000000022e-06
82,79,3.333999999966e-06
83,12,7.042000000013e-06
84,85,1.000000000001e-05
85,36,3.458000000012e-06
86,17,7.499999999994e-06
87,64,3.332999999994e-06
88,27,1.012500000003e-05
89,74,3.458000000012e-06
90,45,7.291000000020e-06
91,61,1.487500000003e-05
92,38,7.625000000011e-06
93,51,9.874999999993e-06
94,62,7.833000000013e-06
95,65,3.540999999996e-06
96,33,7.332999999998e-06
97,5,1.454099999998e-05
98,53,7.415999999982e-06
99,97,3.333999999966e-06
100,49,3.291000000016e-06
