index,value,insert_time_seconds
1,51,1.874999999929e-06
2,757,3.624999999952e-06
3,631,1.104200000002e-05
4,14,6.833000000039e-06
5,346,2.416999999921e-06
6,310,5.875000000044e-06
7,318,8.000000000008e-06
8,903,2.374999999999e-06
9,359,1.162499999996e-05
10,725,2.500000000016e-06
11,973,8.499999999967e-06
12,701,2.584000000083e-06
13,333,2.334000000048e-06
14,147,2.374999999999e-06
15,492,5.749999999916e-06
16,534,6.165999999919e-06
17,638,5.916999999966e-06
18,883,2.541999999939e-06
19,207,7.833000000068e-06
20,526,9.000000000037e-06
21,387,2.583000000000e-06
22,913,6.000000000062e-06
23,547,2.583000000000e-06
24,576,9.332999999945e-06
25,627,6.124999999968e-06
26,125,5.625000000009e-06
27,15,2.417000000032e-06
28,860,2.542000000050e-06
29,722,5.709000000076e-06
30,275,2.457999999983e-06
31,886,2.540999999967e-06
32,685,2.500000000016e-06
33,711,6.167000000001e-06
34,165,2.500000000016e-06
35,185,1.116700000003e-05
36,351,2.625000000034e-06
37,976,2.625000000034e-06
38,671,7.959000000057e-06
39,99,2.625000000034e-06
40,131,2.457999999983e-06
41,543,1.437500000001e-05
42,85,1.179200000001e-05
43,336,2.542000000050e-06
44,134,2.624999999923e-06
45,752,9.125000000054e-06
46,154,2.624999999923e-06
47,428,6.000000000062e-06
48,592,2.583000000000e-06
49,533,2.624999999923e-06
50,748,7.874999999991e-06
51,710,2.749999999940e-06
52,389,7.792000000006e-06
53,37,6.124999999968e-06
54,954,6.083000000046e-06
55,341,6.033299999997e-05
56,190,4.608299999997e-05
57,628,1.700000000004e-05
58,736,6.070800000002e-05
59,462,2.170800000001e-05
60,813,6.583000000004e-06
61,949,9.334000000027e-06
62,921,1.262499999999e-05
63,759,6.167000000001e-06
64,836,6.041000000012e-06
65,985,2.749999999940e-06
66,186,8.083999999964e-06
67,814,5.999999999950e-06
68,468,6.124999999968e-06
69,675,1.295800000001e-05
70,984,8.000000000008e-06
71,349,2.665999999985e-06
72,999,5.875000000044e-06
73,851,1.158400000001e-05
74,630,9.707999999997e-06
75,173,1.154199999998e-05
76,958,2.874999999958e-06
77,439,9.125000000054e-06
78,776,2.791999999974e-06
79,899,2.791999999974e-06
80,56,6.207999999952e-06
81,481,2.749999999940e-06
82,169,5.915999999995e-06
83,485,6.083000000046e-06
84,448,6.124999999968e-06
85,243,5.959000000000e-06
86,204,2.791999999974e-06
87,57,1.154200000009e-05
88,96,2.708000000018e-06
89,634,3.083999999931e-06
90,998,8.250000000043e-06
91,368,2.666999999956e-06
92,35,1.204199999993e-05
93,723,2.833000000035e-06
94,700,2.832999999924e-06
95,648,2.791000000002e-06
96,718,5.709000000076e-06
97,948,7.375000000032e-06
98,152,3.250000000010e-06
99,63,6.625000000038e-06
100,873,2.958000000053e-06
101,670,1.045799999999e-05
102,280,9.667000000046e-06
103,876,9.541000000057e-06
104,506,3.083999999931e-06
105,977,2.874999999958e-06
106,278,6.708000000022e-06
107,826,2.916000000019e-06
108,371,8.542000000000e-06
109,355,2.832999999924e-06
110,529,9.417000000012e-06
111,339,6.124999999968e-06
112,955,8.458000000044e-06
113,102,2.834000000007e-06
114,491,9.707999999997e-06
115,327,2.750000000051e-06
116,52,6.083000000046e-06
117,317,9.749999999920e-06
118,292,2.833000000035e-06
119,775,8.250000000043e-06
120,46,2.999999999975e-06
121,49,1.529200000006e-05
122,138,6.332999999970e-06
123,170,6.207999999952e-06
124,505,2.999999999975e-06
125,89,6.042000000095e-06
126,931,9.249999999961e-06
127,580,2.833000000035e-06
128,575,2.834000000007e-06
129,281,9.290999999911e-06
130,164,2.916999999991e-06
131,521,2.833000000035e-06
132,991,6.207999999952e-06
133,297,2.916999999991e-06
134,81,2.792000000085e-06
135,934,8.416999999983e-06
136,699,1.258399999993e-05
137,862,2.957999999942e-06
138,574,6.083000000046e-06
139,388,9.458999999934e-06
140,733,6.417000000036e-06
141,625,2.791999999974e-06
142,720,6.416000000065e-06
143,672,2.958999999914e-06
144,568,6.291000000047e-06
145,249,2.833000000035e-06
146,834,6.167000000001e-06
147,968,6.416000000065e-06
148,16,3.000000000086e-06
149,552,9.207999999927e-06
150,613,6.125000000079e-06
151,554,8.291999999965e-06
152,71,8.375000000060e-06
153,108,2.957999999942e-06
154,590,2.916000000019e-06
155,17,8.249999999932e-06
156,995,6.292000000019e-06
157,490,8.291999999965e-06
158,703,2.958000000053e-06
159,181,2.916999999991e-06
160,523,6.417000000036e-06
161,32,1.183400000004e-05
162,409,6.292000000019e-06
163,271,6.292000000019e-06
164,433,2.874999999958e-06
165,690,6.625000000038e-06
166,705,8.582999999951e-06
167,924,1.341700000002e-05
168,872,1.174999999998e-05
169,153,6.292000000019e-06
170,790,6.375000000003e-06
171,217,6.250000000096e-06
172,527,6.292000000019e-06
173,732,6.167000000001e-06
174,600,6.167000000001e-06
175,241,8.416999999983e-06
176,475,2.875000000069e-06
177,267,2.874999999958e-06
178,791,6.375000000003e-06
179,940,2.999999999975e-06
180,667,8.166999999948e-06
181,603,1.258400000004e-05
182,2,3.000000000086e-06
183,593,2.874999999958e-06
184,661,6.207999999952e-06
185,247,1.187499999999e-05
186,483,6.290999999936e-06
187,516,2.999999999975e-06
188,735,1.166699999999e-05
189,915,2.916999999991e-06
190,878,2.832999999924e-06
191,815,6.124999999968e-06
192,463,2.707999999907e-06
193,84,6.249999999985e-06
194,653,8.292000000076e-06
195,811,9.167000000088e-06
196,384,2.874999999958e-06
197,947,8.208000000010e-06
198,98,3.042000000009e-06
199,282,1.191600000006e-05
200,831,2.874999999958e-06
201,287,6.457999999987e-06
202,203,8.624999999984e-06
203,266,6.208000000063e-06
204,399,1.508299999997e-05
205,329,8.250000000043e-06
206,522,1.183299999996e-05
207,198,1.554100000001e-05
208,179,6.457999999987e-06
209,148,2.916000000019e-06
210,210,2.874999999958e-06
211,805,8.290999999994e-06
212,608,9.750000000031e-06
213,231,2.874999999958e-06
214,888,8.333000000027e-06
215,809,9.542000000029e-06
216,5,8.542000000000e-06
217,259,8.208000000010e-06
218,240,6.166000000030e-06
219,545,2.874999999958e-06
220,244,8.125000000025e-06
221,335,9.499999999996e-06
222,184,1.770800000001e-05
223,892,9.249999999961e-06
224,901,3.042000000009e-06
225,511,2.958999999914e-06
226,422,2.916999999991e-06
227,639,1.154100000000e-05
228,658,2.957999999942e-06
229,918,6.249999999985e-06
230,136,5.999999999950e-06
231,540,2.791999999974e-06
232,597,2.958000000053e-06
233,373,6.167000000001e-06
234,140,1.108299999997e-05
235,73,4.375000000056e-06
236,230,2.916999999991e-06
237,695,1.529199999994e-05
